date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:49	20535/20535	---M-Z	200	added ('OK')	text/html	etag:W/%22639fe9f1-5037%22	https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/indexc47d.html	(from )
21:30:54	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264513ec8-239b%22	https://themewagon.github.io/robots.txt		(from )
21:30:54	16958/16958	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22639fe9f1-423e%22	https://themewagon.github.io/crypto/img/favicon.ico	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/favicon.ico	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:30:56	31030/31030	---M-Z	200	added ('OK')	text/css	etag:W/%22639fe9f1-7936%22	https://themewagon.github.io/crypto/css/font-awesome.min.css	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/css/font-awesome.min.css	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:30:56	144877/144877	---M-Z	200	added ('OK')	text/css	etag:W/%22639fe9f1-235ed%22	https://themewagon.github.io/crypto/css/bootstrap.min.css	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/css/bootstrap.min.css	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:30:57	16475/16475	---M-Z	200	added ('OK')	text/css	etag:W/%22639fe9f1-405b%22	https://themewagon.github.io/crypto/css/themify-icons.css	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/css/themify-icons.css	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:30:57	75052/75052	---M-Z	200	added ('OK')	text/css	etag:W/%22639fe9f1-1252c%22	https://themewagon.github.io/crypto/css/animate.css	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/css/animate.css	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:30:58	4028/4028	---M-Z	200	added ('OK')	text/css	etag:W/%22639fe9f1-fbc%22	https://themewagon.github.io/crypto/css/owl.carousel.css	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/css/owl.carousel.css	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:30:59	28353/28353	---M-Z	200	added ('OK')	text/css	etag:W/%22639fe9f1-6ec1%22	https://themewagon.github.io/crypto/css/style.css	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/css/style.css	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:30:59	20535/20535	---M-Z	200	added ('OK')	text/html	etag:W/%22639fe9f1-5037%22	https://themewagon.github.io/crypto/index.html	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/index.html	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:00	2359/2359	---M--	200	added ('OK')	image/png	etag:%22639fe9f1-937%22	https://themewagon.github.io/crypto/img/logo.png	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/logo.png	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:03	2871/2871	---M--	200	added ('OK')	image/png	etag:%22639fe9f1-b37%22	https://themewagon.github.io/crypto/img/process-icons/1.png	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/process-icons/1.png	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:03	1896/1896	---M--	200	added ('OK')	image/png	etag:%22639fe9f1-768%22	https://themewagon.github.io/crypto/img/process-icons/2.png	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/process-icons/2.png	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:04	3233/3233	---M--	200	added ('OK')	image/png	etag:%22639fe9f1-ca1%22	https://themewagon.github.io/crypto/img/process-icons/3.png	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/process-icons/3.png	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:05	20009/20009	---M--	200	added ('OK')	image/jpeg	etag:%22639fe9f1-4e29%22	https://themewagon.github.io/crypto/img/member/1.jpg	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/member/1.jpg	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:06	15319/15319	---M--	200	added ('OK')	image/jpeg	etag:%22639fe9f1-3bd7%22	https://themewagon.github.io/crypto/img/member/2.jpg	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/member/2.jpg	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:06	97184/97184	---M--	200	added ('OK')	image/png	etag:%22639fe9f1-17ba0%22	https://themewagon.github.io/crypto/img/about-img.png	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/about-img.png	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:08	30772/30772	---M--	200	added ('OK')	image/jpeg	etag:%22639fe9f1-7834%22	https://themewagon.github.io/crypto/img/member/3.jpg	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/member/3.jpg	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:08	1823/1823	---M--	200	added ('OK')	image/png	etag:%22639fe9f1-71f%22	https://themewagon.github.io/crypto/img/quote.png	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/quote.png	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:11	5657/5657	---M--	200	added ('OK')	image/jpeg	etag:%22639fe9f1-1619%22	https://themewagon.github.io/crypto/img/review/1.jpg	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/review/1.jpg	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:11	56363/56363	---M--	200	added ('OK')	image/jpeg	etag:%22639fe9f1-dc2b%22	https://themewagon.github.io/crypto/img/member/5.jpg	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/member/5.jpg	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:11	59348/59348	---M--	200	added ('OK')	image/jpeg	etag:%22639fe9f1-e7d4%22	https://themewagon.github.io/crypto/img/member/4.jpg	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/member/4.jpg	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:12	8439/8439	---M--	200	added ('OK')	image/jpeg	etag:%22639fe9f1-20f7%22	https://themewagon.github.io/crypto/img/review/2.jpg	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/review/2.jpg	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:12	7494/7494	---M--	200	added ('OK')	image/jpeg	etag:%22639fe9f1-1d46%22	https://themewagon.github.io/crypto/img/review/3.jpg	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/review/3.jpg	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:14	282528/282528	---M--	200	added ('OK')	image/png	etag:%22639fe9f1-44fa0%22	https://themewagon.github.io/crypto/img/laptop.png	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/laptop.png	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:15	3769/3769	---M--	200	added ('OK')	image/png	etag:%22639fe9f1-eb9%22	https://themewagon.github.io/crypto/img/appstore.png	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/appstore.png	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:16	6036/6036	---M--	200	added ('OK')	image/png	etag:%22639fe9f1-1794%22	https://themewagon.github.io/crypto/img/playstore.png	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/playstore.png	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:19	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fe9f1-15283%22	https://themewagon.github.io/crypto/js/jquery-3.2.1.min.js	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/js/jquery-3.2.1.min.js	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:20	140246/140246	---M--	200	added ('OK')	image/jpeg	etag:%22639fe9f1-223d6%22	https://themewagon.github.io/crypto/img/blog/1.jpg	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/img/blog/1.jpg	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:21	1779/1779	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fe9f1-6f3%22	https://themewagon.github.io/crypto/js/main.js	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/js/main.js	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:21	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639fe9f1-a70e%22	https://themewagon.github.io/crypto/js/owl.carousel.min.js	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/js/owl.carousel.min.js	(from https://themewagon.github.io/crypto/?_ga=2.120368832.938919274.1683235641-84337761.1678273471)
21:31:29	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22639fe9f1-2876e%22	https://themewagon.github.io/crypto/icon-fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/investment/themewagon.github.io/crypto/icon-fonts/fontawesome-webfont3e6e.eot	(from https://themewagon.github.io/crypto/css/font-awesome.min.css)
